SEARCH_ENGLISH|QUIZ_ENGLISH|SUBSECTION_ENGLISH|SEARCH_SPANISH|QUIZ_SPANISH|SUBSECTION_SPANISH|SEARCH_FRENCH|QUIZ_FRENCH|SUBSECTION_FRENCH|SEARCH_ITALIAN|QUIZ_ITALIAN|SUBSECTION_ITALIAN|SEARCH_CHINESE|QUIZ_CHINESE|SUBSECTION_CHINESE|SEARCH_ARABIC|QUIZ_ARABIC|SUBSECTION_ARABIC|SEARCH_RUSSIAN|QUIZ_RUSSIAN|SUBSECTION_RUSSIAN|X-Axis|Y-Axis|SOURCE IMAGE|SECTION
Gallbladder Pathology, Cholelith (Gallstone)|Cholelith (Gallstone)||Patología de La Vesícula Biliar, Colecistitis (Cálculo Biliar)|Colecistitis (Cálculo Biliar)||Pathologie De La Vésicule Biliaire, Cholelith (Gallstone)|Cholelith (Gallstone)||Patologia Della Cistifellea, Colelitiasi|Calcolo Biliare||胆囊病理学，胆石|胆石||أمراض المرارة، حصى المراره حصى صفراويه|حصى المراره حصى صفراويه||Патология Желчного Пузыря, Холелит (Желчный Камень)|Холелит (Желчный камень)||421|157|09 - GALLBLADDER PATHOLOGY - 04.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Cholelith (Gallstone)|Cholelith (Gallstone)||Patología de La Vesícula Biliar, Colecistitis (Cálculo Biliar)|Colecistitis (Cálculo Biliar)||Pathologie De La Vésicule Biliaire, Cholelith (Gallstone)|Cholelith (Gallstone)||Patologia Della Cistifellea, Colelitiasi|Calcolo Biliare||胆囊病理学，胆石|胆石||أمراض المرارة، حصى المراره حصى صفراويه|حصى المراره حصى صفراويه||Патология Желчного Пузыря, Холелит (Желчный Камень)|Холелит (Желчный камень)||208|173|09 - GALLBLADDER PATHOLOGY - 05.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Cholelith (Gallstone)|Cholelith (Gallstone)||Patología de La Vesícula Biliar, Colecistitis (Cálculo Biliar)|Colecistitis (Cálculo Biliar)||Pathologie De La Vésicule Biliaire, Cholelith (Gallstone)|Cholelith (Gallstone)||Patologia Della Cistifellea, Colelitiasi|Calcolo Biliare||胆囊病理学，胆石|胆石||أمراض المرارة، حصى المراره حصى صفراويه|حصى المراره حصى صفراويه||Патология Желчного Пузыря, Холелит (Желчный Камень)|Холелит (Желчный камень)||867|351|09 - GALLBLADDER PATHOLOGY - 06.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Hemorrhagic Cholecystitis|Hemorrhagic Cholecystitis||Patología de La Vesícula Biliar, Colecistitis Hemorrágica|Colecistitis Hemorrágica||Pathologie De La Vésicule Biliaire, Cholécystite Hémorragique|Cholécystite hémorragique||Patologia Della Cistifellea, Colecistite Emorragica|Colecistite Emorragica||胆囊病理学，出血性胆囊炎|出血性胆囊炎||أمراض المرارة، التهاب المرارة النزفية|التهاب المرارة النزفية||Патология Желчного Пузыря, Геморрагический Холецистит|Геморрагический холецистит||921|587|09 - GALLBLADDER PATHOLOGY - 07.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Cholesterolosis|Cholesterolosis||Patología de La Vesícula Biliar, Colesterolosis|Cholesterolosis||Pathologie De La Vésicule Biliaire, Cholestérolose|Cholestérolose||Patologia Della Cistifellea, Colesterolosi|Colesterolosi||胆囊病理学，胆固醇沉积病|胆固醇沉积病||أمراض المرارة، الداء الكولسترولي|الداء الكولسترولي||Патология Желчного Пузыря, Холестерол|холестерол||1091|564|09 - GALLBLADDER PATHOLOGY - 08.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Rokitansky–Aschoff Sinus in Chronic Cholecystitis|Rokitansky–Aschoff Sinus in Chronic Cholecystitis||Patología de La Vesícula Biliar, Rokitansky-Aschoff Sinus en la Colecistitis Crónica|Rokitansky-Aschoff Sinus en la Colecistitis Crónica||Pathologie De La Vésicule Biliaire, Sinus de Rokitansky-Aschoff Dans La Cholécystite Chronique|Sinus de Rokitansky-Aschoff dans la cholécystite chronique||Patologia Della Cistifellea, Seno di Rokitansky-Aschoff In Colecistite Cronica|Seno Di Rokitansky-Aschoff In Colecistite Cronica||胆囊病理学，胆囊炎胆囊壁膨部|胆囊炎胆囊壁膨部||أمراض المرارة، قناة روكيتانسكي-أسكوف  التهاب المرارة المزمن|قناة روكيتانسكي-أسكوف التهاب المرارة المزمن||Патология Желчного Пузыря, Рокитанского-Ашоффа Синус При Хроническом Холецистите|Рокитанского-Ашоффа Синус при хроническом холецистите||976|750|09 - GALLBLADDER PATHOLOGY - 09.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Gallbladder Cancer|Gallbladder Cancer||Patología de La Vesícula Biliar, Cáncer de Vesícula Biliar|Cáncer de Vesícula Biliar||Pathologie De La Vésicule Biliaire, Cancer De La Vésicule Biliaire|Cancer de la vésicule biliaire||Patologia Della Cistifellea, Cancro Della Cistifellea|Cancro Alla Cistifellea||胆囊病理学，胆囊癌|胆囊癌||أمراض المرارة، سرطان المرارة|سرطان المرارة||Патология Желчного Пузыря, Рак Желчного Пузыря|Рак желчного пузыря||788|1522|09 - GALLBLADDER PATHOLOGY - 10.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Gallbladder Cancer|Gallbladder Cancer||Patología de La Vesícula Biliar, Cáncer de Vesícula Biliar|Cáncer de Vesícula Biliar||Pathologie De La Vésicule Biliaire, Cancer De La Vésicule Biliaire|Cancer de la vésicule biliaire||Patologia Della Cistifellea, Cancro Della Cistifellea|Cancro Alla Cistifellea||胆囊病理学，胆囊癌|胆囊癌||أمراض المرارة، سرطان المرارة|سرطان المرارة||Патология Желчного Пузыря, Рак Желчного Пузыря|Рак желчного пузыря||987|216|09 - GALLBLADDER PATHOLOGY - 11.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Choledochal Cyst (Type I)|Choledochal Cyst (Type I)||Patología de La Vesícula Biliar, Quiste de Colédoco (Tipo I)|Quiste de Colédoco (Tipo I)||Pathologie De La Vésicule Biliaire, Kyste Cholédocien (Type I)|Kystes cholédociens (type I)||Patologia Della Cistifellea, Cisti Coledocica (Tipo I)|Cisti Coledocica (Tipo I)||胆囊病理学, 胆管囊肿（1型）|胆管囊肿（1型）||أمراض المرارة، الكيس الصفراوي (النوع الأول)|الكيس الصفراوي (النوع الأول)||Патология Желчного Пузыря, Киста общего желчного протока (Тип I)|киста общего желчного протока (тип I)||1584|527|09 - GALLBLADDER PATHOLOGY - 12.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Choledochal Cyst (Type II)|Choledochal Cyst (Type II)||Patología de La Vesícula Biliar, Quiste de Colédoco (Tipo II)|Quiste de Colédoco (Tipo II)||Pathologie De La Vésicule Biliaire, Kyste Cholédocien (Type Ii)|Kystes cholédociens (type II)||Patologia Della Cistifellea, Cisti Coledocica (Tipo Ii)|Cisti Coledocica (Tipo Ii)||胆囊病理学，胆管囊肿（2型）|胆管囊肿（2型）||أمراض المرارة، الكيس الصفراوي (النوع الثاني)|الكيس الصفراوي (النوع الثاني)||Патология Желчного Пузыря, Киста общего желчного протока (Тип II)|киста общего желчного протока (тип II)||508|1550|09 - GALLBLADDER PATHOLOGY - 12.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Choledochal Cyst (Type III)|Choledochal Cyst (Type III)||Patología de La Vesícula Biliar, Quiste de Colédoco (Tipo III)|Quiste de Colédoco (Tipo III)||Pathologie De La Vésicule Biliaire, Kyste Cholédocien (Type Iii)|Kystes cholédociens (type III)||Patologia Della Cistifellea, Cisti Coledocica (Tipo Iii)|Cisti Coledocica (Tipo Iii)||胆囊病理学，胆管囊肿（3型）|胆管囊肿（3型）||أمراض المرارة، الكيس الصفراوي (النوع الثالث)|الكيس الصفراوي (النوع الثالث)||Патология Желчного Пузыря, Киста общего желчного протока (Тип III)|киста общего желчного протока (тип III)||1460|1642|09 - GALLBLADDER PATHOLOGY - 12.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Choledochal Cyst (Type IV)|Choledochal Cyst (Type IV)||Patología de La Vesícula Biliar, Quiste de Colédoco (Tipo IV)|Quiste de Colédoco (Tipo IV)||Pathologie De La Vésicule Biliaire, Kyste Cholédocien (Type Iv)|Kystes cholédociens (type IV)||Patologia Della Cistifellea, Cisti Coledocica (Tipo Iv)|Cisti Coledocica (Tipo Iv)||胆囊病理学，胆管囊肿（4型）|胆管囊肿（4型）||أمراض المرارة، الكيس الصفراوي (النوع الرابع)|الكيس الصفراوي (النوع الرابع)||Патология Желчного Пузыря, Киста общего желчного протока (Тип IV)|киста общего желчного протока (тип IV)||344|2261|09 - GALLBLADDER PATHOLOGY - 12.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Choledochal Cyst (Type V)|Choledochal Cyst (Type V)||Patología de La Vesícula Biliar, Quiste de Colédoco (Tipo V)|Quiste de Colédoco (Tipo V)||Pathologie De La Vésicule Biliaire, Kyste Cholédocien (Type V)|Kystes cholédociens (type V)||Patologia Della Cistifellea, Cisti Coledocica (Tipo V)|Cisti Coledocica (Tipo V)||胆囊病理学，胆管囊肿（5型）|胆管囊肿（5型）||أمراض المرارة، الكيس الصفراوي (النوع الخامس)|الكيس الصفراوي (النوع الخامس)||Патология Желчного Пузыря, Киста общего желчного протока (Тип V)|киста общего желчного протока (тип V)||1332|2257|09 - GALLBLADDER PATHOLOGY - 12.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Dying Neutrophilic Granulocytes in Necrotizing Cholecystitis|Dying Neutrophilic Granulocytes in Necrotizing Cholecystitis||Patología de La Vesícula Biliar, Granulocitos Neutrófilos Moribundos en la Colecistitis Necrosante|Granulocitos Neutrófilos Moribundos en la Colecistitis Necrosante||Pathologie De La Vésicule Biliaire, Granulocytes Neutrophiles Mourants Dans La Cholécystite Nécrosante|Mort des granulocytes neutrophiles dans la cholécystite nécrosante||Patologia Della Cistifellea, Granulociti Neutrofili Morenti In Colecistite Necrotizzante|Granulociti Neutrofili Morenti In Colecisti Necrotizzante||胆囊病变，坏死嗜中颗粒白血球坏死性胆囊炎|坏死嗜中颗粒白血球坏死性胆囊炎||أمراض المرارة،  التهاب المرارة المميت|التهاب المرارة المميت||Патология Желчного Пузыря, Умирающие Нейтрофильные Гранулоциты при Некротизирующем Холецистите|Умирающие нейтрофильные гранулоциты при некротизирующем холецистите||1342|687|09 - GALLBLADDER PATHOLOGY - 13.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Necrotic Mucosa in Necrotizing Cholecystitis|Necrotic Mucosa in Necrotizing Cholecystitis||Patología de La Vesícula Biliar, Mucosa Necrótica en la Colecistitis Necrosante|Mucosa Necrótica en la Colecistitis Necrosante||Pathologie De La Vésicule Biliaire, Muqueuse Nécrotique Dans La Cholécystite Nécrosante|Mucosa nécrotique dans la cholécystite nécrosante||Patologia Della Cistifellea, Mucosa Necrotica In Colecistite Necrotizzante|Mucosa Necrotica In Colecistite Necrotizzante||胆囊病理学，坏死性胆囊炎坏死性粘膜|坏死性胆囊炎坏死性粘膜||أمراض المرارة، الغشاء المخاطي  في التهاب المرارة الناخر|الغشاء المخاطي في التهاب المرارة الناخر||Патология Желчного Пузыря, Некротическая Слизистая Оболочка при Некротизирующем Холецистите|Некротическая слизистая оболочка при некротизирующем холецистите||1552|638|09 - GALLBLADDER PATHOLOGY - 13.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Vasodilation in Necrotizing Cholecystitis|Vasodilation in Necrotizing Cholecystitis||Patología de La Vesícula Biliar, Conductosodilatación en la Colecistitis Necrosante|Conductoodilatación en Colecistitis Necrosante||Pathologie De La Vésicule Biliaire, Vasodilatation Dans La Cholécystite Nécrosante|Vasodilatation dans la cholécystite nécrosante||Patologia Della Cistifellea, Vasodilatazione Nella Colecistite Necrotizzante|Vasodilatazione In Colecistite Necrotizzante||胆囊病变，坏死性胆囊炎血管抄扩张|坏死性胆囊炎血管抄扩张||أمراض المرارة، توسع الأوعية الدموية في التهاب المرارة الناخر|توسع الأوعية الدموية في التهاب المرارة الناخر||Патология Желчного Пузыря, Вазодилатация при Некротизирующем Холецистите|Вазодилатация при некротизирующем холецистите||702|452|09 - GALLBLADDER PATHOLOGY - 13.jpg|09 - Gallbladder Pathology
Gallbladder Pathology, Gallbladder Cancer|Gallbladder Cancer||Patología de La Vesícula Biliar, Cáncer de Vesícula Biliar|Cáncer de Vesícula Biliar||Pathologie De La Vésicule Biliaire, Cancer De La Vésicule Biliaire|Cancer de la vésicule biliaire||Patologia Della Cistifellea, Cancro Della Cistifellea|Cancro Alla Cistifellea||胆囊病理学，胆囊癌|胆囊癌||أمراض المرارة، سرطان المرارة|سرطان المرارة||Патология Желчного Пузыря, Рак Желчного Пузыря|Рак желчного пузыря||440|251|09 - GALLBLADDER PATHOLOGY - 14.jpg|09 - Gallbladder Pathology
Gastrointestinal Tract, Small Intestines, Stomach|Stomach|Small Intestines|Tracto Gastrointestinal, Intestinos Pequeños, Estómago|Estómago|Intestinos Pequeños|Tractus Gastro-Intestinal, Petits Intestins, Estomac|Estomac|Petit Intestin|Tratto Gastrointestinale, Intestino Tenue, Stomaco|Stomaco|Piccolo Intestino|胃肠道，小肠，胃|胃|小肠|الجهاز الهضمي، الأمعاء الدقيقة، المعدة|المعدة|الأمعاء الدقيقة|Желудочно-кишечный тракт, Тонкий Кишечник, Желудок|желудок|Тонкий Кишечник|782|642|10 - INTESTINES - 01.jpg|10 - Intestines
Gastrointestinal Tract, Small Intestines, Duodenum|Duodenum|Small Intestines|Tracto Gastrointestinal, Intestino Delgado, Duodeno|Duodeno|Intestinos Pequeños|Tractus Gastro-Intestinal, Petits Intestins, Duodénum|Duodénum|Petit Intestin|Tratto Gastrointestinale, Intestino Tenue, Duodeno|Duodeno|Piccolo Intestino|胃肠道，小肠，十二指肠|十二指肠|小肠|الجهاز الهضمي، الأمعاء الدقيقة، الاثني عشر|الاثني عشر|الأمعاء الدقيقة|Желудочно-кишечный тракт, Тонкий Кишечник, Двенадцатиперстная кишка|двенадцатиперстная кишка|Тонкий Кишечник|524|702|10 - INTESTINES - 01.jpg|10 - Intestines
Gastrointestinal Tract, Small Intestines, Jejunum|Jejunum|Small Intestines|Tracto Gastrointestinal, Intestino Delgado, Yeyuno|Yeyuno|Intestinos Pequeños|Tractus Gastro-Intestinal, Petits Intestins, Jejunum|Jejunum|Petit Intestin|Tratto Gastrointestinale, Intestino Tenue, Digiuno|Digiuno|Piccolo Intestino|胃肠道，小肠，空肠|空肠|小肠|الجهاز الهضمي، الأمعاء الدقيقة، الصائم|الصائم|الأمعاء الدقيقة|Желудочно-кишечный тракт, Тонкий Кишечник, тощая кишка|тощая кишка|Тонкий Кишечник|608|897|10 - INTESTINES - 01.jpg|10 - Intestines
Gastrointestinal Tract, Small Intestines, Ileum|Ileum|Small Intestines|Tracto Gastrointestinal, Intestinos Pequeños, Íleon|Íleon|Intestinos Pequeños|Tractus Gastro-Intestinal, Petits Intestins, Ileum|Ileum|Petit Intestin|Tratto Gastrointestinale, Intestino Tenue, Ileo|Ileo|Piccolo Intestino|胃肠道，小肠，回肠|回肠|小肠|الجهاز الهضمي، الأمعاء الدقيقة، اللفائفي|اللفائفي|الأمعاء الدقيقة|Желудочно-кишечный тракт, Тонкий Кишечник, подвздошная кишка|подвздошная кишка|Тонкий Кишечник|605|1044|10 - INTESTINES - 01.jpg|10 - Intestines
Gastrointestinal Tract, Small Intestines|Small Intestines|Small Intestines|Tracto Gastrointestinal, Intestinos Pequeños|Intestinos Pequeños|Intestinos Pequeños|Tractus Gastro-Intestinal, Petits Intestins|Petits Intestins|Petit Intestin|Tratto Gastrointestinale, Piccolo Intestino|Piccolo Intestino|Piccolo Intestino|胃肠道，小肠|小肠|小肠|الجهاز الهضمي، الأمعاء الدقيقة|الأمعاء الدقيقة|الأمعاء الدقيقة|Желудочно-кишечный тракт, Тонкий Кишечник|Тонкий кишечник|Тонкий Кишечник|626|957|10 - INTESTINES - 01.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Ascending|Ascending Colon|Large Intestines|Tracto Gastrointestinal, Colon, Ascendente|Colon Ascendente|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Ascendant|Côlon ascendant|Gros Intestin|Tratto Gastrointestinale, Colon, Ascendente|Colon Ascendente|Intestino Crasso|胃肠道，结肠，上升|升结肠|大肠|الجهاز الهضمي، القولون، الصاعد|الصاعد|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, восходящая ободочная кишка|восходящая ободочная кишка|Толстые Кишки|705|560|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Transverse|Transverse Colon|Large Intestines|Tracto Gastrointestinal, Colon, Transversal|Colon Transverso|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Transverse|Côlon transverse|Gros Intestin|Tratto Gastrointestinale, Colon, Trasversale|Colon Trasverso|Intestino Crasso|胃肠道，结肠，横向|横结肠|大肠|الجهاز الهضمي، القولون، عرضي|عرضي|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, Поперечная ободочная кишка|Поперечная ободочная кишка|Толстые Кишки|1257|347|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Descending|Descending Colon|Large Intestines|Tracto Gastrointestinal, Colon, Descendente|Colon Descendente|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Descendant|Côlon descendant|Gros Intestin|Tratto Gastrointestinale, Colon, Decrescente|Colon Discendente|Intestino Crasso|胃肠道，结肠，降序|降结肠|大肠|الجهاز الهضمي، القولون، النازل|النازل|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, нисходящая ободочная кишка|нисходящая ободочная кишка|Толстые Кишки|1653|599|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Sigmoid|Sigmoid Colon|Large Intestines|Tracto Gastrointestinal, Colon, Sigmoide|Colon Sigmoide|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Sigmoïde|Colon sigmoïde|Gros Intestin|Tratto Gastrointestinale, Colon, Sigmoide|Colon Sigmoide|Intestino Crasso|胃肠道，乙状结肠|乙状结肠|大肠|الجهاز الهضمي، القولون، السيني|السيني|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, сигмовидная|Сигмовидная кишка|Толстые Кишки|1485|992|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Ileocecal Valve|Ileocecal Valve|Large Intestines|Tracto Gastrointestinal, Colon, Válvula Ileocecal|Válvula Ileocecal|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Valve Iléo-Colique|Valve Ileocécale|Gros Intestin|Tratto Gastrointestinale, Colon, Valvola Ileocecale|Valvola Ileocecale|Intestino Crasso|胃肠道，结肠，回盲瓣|回盲瓣|大肠|الجهاز الهضمي، القولون، صمام لفائفي اعوري|صمام لفائفي اعوري|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, илиоцекальный клапан|Илеоцекальный клапан|Толстые Кишки|906|785|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Ileum|Ileum|Large Intestines|Tracto Gastrointestinal, Colon, Íleon|Íleon|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Ileum|Ileum|Gros Intestin|Tratto Gastrointestinale, Colon, Ileo|Ileo|Intestino Crasso|胃肠道，结肠，回肠|回肠|大肠|الجهاز الهضمي، القولون، لفائفي|لفائفي|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, подвздошная кишка|подвздошная кишка|Толстые Кишки|1035|791|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Appendix|Appendix|Large Intestines|Tracto Gastrointestinal, Colon, Apéndice|Apéndice|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Appendice|Appendice|Gros Intestin|Tratto Gastrointestinale, Colon, Appendice|Appendice|Intestino Crasso|胃肠道，结肠，阑尾|阑尾|大肠|الجهاز الهضمي، القولون، الزائده الدوديه|الزائده الدوديه|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, аппендикс|аппендикс|Толстые Кишки|1080|914|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Cecum|Cecum|Large Intestines|Tracto Gastrointestinal, Colon, Ciego|Ciego|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Cecum|Caecum|Gros Intestin|Tratto Gastrointestinale, Colon, Cecum|Cieco|Intestino Crasso|胃肠道，结肠，盲肠|盲肠|大肠|الجهاز الهضمي، القولون، الاعور|الاعور|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, слепая кишка|слепая кишка|Толстые Кишки|882|878|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Taenia Coli|Taenia Coli|Large Intestines|Tracto Gastrointestinal, Colon, Taenia Coli|Taenia Coli|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Taenia Coli|Taenia Coli|Gros Intestin|Tratto Gastrointestinale, Colon, Taenia Coli|Taenia Coli|Intestino Crasso|胃肠道，纵向结肠平滑肌|纵向结肠平滑肌|大肠|الجهاز الهضمي، القولون، الاشريكيه القولونيه|الاشريكيه القولونيه|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, ленты|ленты|Толстые Кишки|1092|239|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Hepatic Flexure|Hepatic Flexure|Large Intestines|Tracto Gastrointestinal, Colon, Ángulo Hepático|Ángulo Hepático|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Flexion Hépatique|Flexion hépatique|Gros Intestin|Tratto Gastrointestinale, Colon, Flessura Epatica|Flessura Epatica|Intestino Crasso|胃肠道，结肠，肝弯曲|肝弯曲|大肠|الجهاز الهضمي، القولون، الثنيه الكبديه|الثنيه الكبديه|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, печеночный изгиб|Печеночный изгиб|Толстые Кишки|792|164|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Splenic Flexure|Splenic Flexure|Large Intestines|Tracto Gastrointestinal, Colon, Ángulo Esplénico|Ángulo Esplénico|Intestinos Grandes|Tractus Gastro-Intestinal, Côlon, Flexion Splénique|Flexion splénique|Gros Intestin|Tratto Gastrointestinale, Colon, Flessura Splenica|Flessura Splenica|Intestino Crasso|胃肠道，结肠，脾弯曲|脾弯曲|大肠|الجهاز الهضمي، القولون، الثنيه الطحاليه|الثنيه الطحاليه|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, селезеночный изгиб|селезеночный изгиб|Толстые Кишки|1662|155|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Haustra|Haustra|Large Intestines|Tracto Gastrointestinal, Colon, Haustra|Haustra|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Haustra|Haustra|Gros Intestin|Tratto Gastrointestinale, Colon, Haustra|Haustra|Intestino Crasso|胃肠道，结肠袋|结肠袋|大肠|الجهاز الهضمي، القولون، قبيبات|قبيبات|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, выпячивание|гаустра|Толстые Кишки|1284|200|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Rectum|Rectum|Large Intestines|Tracto Gastrointestinal, Colon, Recto|Recto|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Rectum|Rectum|Gros Intestin|Tratto Gastrointestinale, Colon, Retto|Retto|Intestino Crasso|胃肠道，结肠，直肠|直肠|大肠|الجهاز الهضمي، القولون، المستقيم|المستقيم|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, прямая кишка|прямая кишка|Толстые Кишки|1194|1280|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Anus|Anus|Large Intestines|Tracto Gastrointestinal, Colon, Ano|Ano|Intestinos Grandes|Tractus Gastro-Intestinal, Colon, Anus|Anus|Gros Intestin|Tratto Gastrointestinale, Colon, Ano|Ano|Intestino Crasso|胃肠道，结肠，肛门|肛门|大肠|الجهاز الهضمي، القولون، فتحة الشرج|فتحة الشرج|الامعاء الكبيرة|Желудочно-кишечный тракт, Толстая кишка, анус|анус|Толстые Кишки|1182|1475|10 - INTESTINES - 02.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Lumen|Lumen |Colon Structure|Tracto Gastrointestinal, Colon, Lumen|Lumen|Estructura de Colon|Tractus Gastro-Intestinal, Côlon, Lumière|Lumière|Structure du Côlon|Tratto Gastrointestinale, Colon, Lume|Lume|Colon Struttura|胃肠道，结肠，腔|流明腔|结肠结构|الجهاز الهضمي، القولون، التجويف|التجويف|هيكل كولون|Желудочно-кишечный тракт, Толстая кишка, просвет|просвет кишки|Колонная Структура|227|1184|10 - INTESTINES - 03.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Mucosa|Mucosa |Colon Structure|Tracto Gastrointestinal, Colon, Mucosa|Mucosa|Estructura de Colon|Tractus Gastro-Intestinal, Colon, Mucosa|Mucosa|Structure du Côlon|Tratto Gastrointestinale, Colon, Mucosa|Mucosa|Colon Struttura|胃肠道，结肠，粘膜|粘膜|结肠结构|الجهاز الهضمي، القولون، الغشاء المخاطي|الغشاء المخاطي|هيكل كولون|Желудочно-кишечный тракт, Толстая кишка, Слизистая Оболочка|слизистая оболочка|Колонная Структура|137|1217|10 - INTESTINES - 03.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Mucosa Epithelium|Epithelium of Mucosa|Colon Structure|Tracto Gastrointestinal, Colon, Epitelio de Mucosa|Epitelio de Mucosa|Estructura de Colon|Tractus Gastro-Intestinal, Côlon, Épithélium De La Muqueuse|Epithélium de Muqueuse|Structure du Côlon|Tratto Gastrointestinale, Colon, Epitelio della Mucosa|Epitelio Della Mucosa|Colon Struttura|胃肠道，结肠，粘膜上皮|粘膜上皮|结肠结构|الجهاز الهضمي، القولون، الغشاء المخاطي الظاهر|الغشاء المخاطي الظاهر|هيكل كولون|Желудочно-кишечный тракт, Толстая кишка, Эпителий Слизистой Оболочки|Эпителий слизистой оболочки|Колонная Структура|209|1259|10 - INTESTINES - 03.jpg|10 - Intestines
Gastrointestinal Tract, Colon, Mucosa Lamina Propria|Lamina Propria of Mucosa |Colon Structure|Tracto Gastrointestinal, Colon, Lamina Propria de Mucosa|Lamina Propria de Mucosa|Estructura de Colon|Tractus Gastro-Intestinal, Colon, Muquese de la Lamina Propria|Lamina Propria de la muquese|Structure du Côlon|Tratto Gastrointestinale, Colon, Mucosa Lamina Propria|Lamina Propria Di Mucosa|Colon Struttura|胃肠道，结肠，结肠粘膜底层|结肠粘膜底层|结肠结构|الجهاز الهضمي، القولون، الغشاء المخاطي الصفيحة المخاطيه المخصوصه|الغشاء المخاطي الصفيحة المخاطيه المخصوصه|هيكل كولون|Желудочно-кишечный тракт, Толстая кишка, собственная пластинка слизистой оболочки|собственная пластинка слизистой оболочки|Колонная Структура|206|1046|10 - INTESTINES - 03.jpg|10 - Intestines
